HUMAN_TRANSCRIPTION,SYSTEM_TRANSCRIPTION,CENTURY,ImageID,TEXT_LINE_NUM
τεροι οὖν καὶ ἄρχοντες οἱ μὴ διὰ τῆς ὑγιαινοῦσης,προιον καραρχοντες οιμη διατῆς γγιαι νουσις,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,13
διδασκαλίας καὶ τῶν κατὰ τὀν ἴδιον βίον ἀγαθῶν,διδασκαλιας καὶ τῶν κατα τον ιιουμει ον αγαλλων,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,14
ὑποδειγμάτων τὸν ἀμπελῶνα γεωργοῦντες ταῦτα,πο δει γματων τον αμπεμων αγεωργοῦντες ταῦτα,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,15
ἐγκληθησόμεθα εὐλόγως δὲ καὶ ἀκουσόμεθά το,εγλληθησομεθα ευζοιωσδεκαι ακουσομεθα το,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,16
καὶ ἡ ἀρπαγὴ τοῦ πτωχοῦ ἐν τοῖς οἴκοις ὑμῶν,καικαρπεαγη του πτωχουεν τοις οικοις χμῶν,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,17
ἐὰν τὰ εἰς λόγον τῆς ἀναπαύσεως τῶν πενήτων,δαντα ειςλογοντῆς ἀναπαυως των πενητω,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,18
διδόμενα ἐν τοῖς οἴκοις ἔχωμεν ἀποστεροῦντες,διδόμὲναδεντοις ο ικοις εχωμεν αποστεροῦντες,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,19
τοὺς ἐνδεεῖς τι υμεις αδικειτε τον λαο,τους ἐνδεεις ωτιἀμεις απικεὶ τε τοη λαου,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,20
μου και το προσωπον των πτωχων καταισχυνετε,"μος, καὶ τοπρο ποτω απτω χω ηκατίςχων ερ",11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,21
εθος τοις αδικουσι και αποστερουσιν επειδαν,θος τοις ἀδεκου σικαιἀπόστερου σίη επειδαν,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,22
εγκαλωνται παρα των ηδικημενων υβρεσι και λοι,ἐγκαλων τα παρατων ηδικήμενων χβρεσικατ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,23
δοριαις καταισχυνειν αυτους εξευτελιζοντες και,δορίαι εκαται εχν εν αυτοὺς ἐξευὑτελύζον τεσκαι,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,24
πληγας απειλουντες και ως φιλοπραγμονας δια,πληγας ἀπειλοῦντες καίὶ ως φιλοπραγμονας δια,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,25
βαλλλοντες ου μονον ουν φησιν αδικειτε τον πενητα,καλλοντε ουμον ουν φεισινα δικεὶτε τον πενητα,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,26
ευδιαρπαστον οντα και ευεπιβουλευτον δια την,διαρ πατον οντα καὶ εγεπικουλευτον διατῆ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,27
ερημιαν αλλα και καταισχυνετε τα προσωπα,ἐρημιαν ἀλλακαι καται χνετες τα προπα,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,28
των πτωχων την υμιν προσηκουσαν εκ της α,των πτωχων την υμν προσηκου σαυεκτῆς ἀ,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,29
δικιας αισχυνην ταυτην εκ της τυραννιδος υμων,οικιας αρεχω ην ταυτην εκτης τυραννιδος ὑμη,11,1 Bodleian-Library-MS-Barocci-102_00157_fol-75r.jpg,30
τοις πτωχοις περιτρεπετε μαρτυρας αναπειθο,τοισκτώχοια πρερετρεπετε αρτυρας ἀναπειθ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,1
ντες συνηγορους μισθουμενοι τους δικαζοντας,τε α αν η γεροσσμεσθουμνοι τουὺς δικαδοντας,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,2
παραπειθοντες εως αν προς τη λοιπη αδικια,πάραπεεθον τα υεωῴαν προςτελοιπηα δικκα,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,3
και την εκ της συκοφαντιας αισχινην τοις πενησι,και τὴνεκ τῆς ου καφάν τίας ἀκχνην τοῦ πεκει,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,4
περιστησετε γινεται δε και αλλως ημετερον το,σιπάρετῆςθτου γεν εται δε καιανος ημετερόντ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,5
εγκλημα οταν εν τοις ομοιοις πταισμασι των,εγευρμα ετιανεν τοις όμοι οις πταισμασιητω,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,6
μεν πενητων σφοδρως καθαπτωμεθα δημοσιευον,μέν πόν εη των αροδβως καθα πτομεθα δήμοσιεσυ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,7
τες μεν αυτων τα πταισματα και μηδενος ονειδους,ιε αὐτων τασται σματα καί μη δενος όνει δους,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,8
φειδομενοι ενεπιδεικνυμενοι δε τον του θυ,φειδόμεν οὲ εν επιδειν μενοίαν τον τοῦ θο,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,9
ζηλον τοις πενησι και εκ τουτου τα προσωπα,οεὐον τοιεπένησιη και δκ τοῦ του ταπροσοπα,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,10
αυτων καταισχυνοντες επει δε εισι τινες πτωχοι,αυτων τα αυρας ὐχανοντεσ επειδε ειακτιν ε πταχόι,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,11
μακαριζομενοι οι δια την θεοσεβειαν παντων,κιακαρεζομένοι οι δξα τὴν θε αδυκείαν παντων,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,12
καταφρονησαντες και επ ελπιδι του κατά θεον,καταφρον ηαντεα καὶ επεασείδη τοῦ κατασυ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,13
πλουτου της κοσμικης περιουσιας υπεριδον,πλμου του τῆς κοσμηηεπεριουσας υπεριδον,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,14
τες  οι προεστωτες του λαου αντι του,τες οι κακῶς προετωτες τοῦλαου ἀντετου,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,15
μακαριζειν τους ουτω πτωχευοντας διαβαλλον,μακαρεζεια τοὺς οὐψτω πτχεωντας διαβαλλο,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,16
τες και εξουθενουντες και την επαινετην αυτων,τεσκαι εξουθεν ουντες και την επαινετην αυτ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,17
ταπεινοφροσυνην εξευτελιζοντες εικοτως,ταπεινοφροσυν ν εξευτεμζοντες ἐικοτως,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,18
εγκαλουνται  μαλιστα εάν πρεσβυτεροι ωσιν η αρ,εγκαρουνται μαλι στα εαν πρεσυντροιωσιν καρ,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,19
χοντες ως τα προσωπα των αγιων πτωχων καται,"χοντες, ως σια προ πατων αγιων πτωχων κατρ",11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,20
σχυνοντες οποιος ην πτωχος ιωαννης μη,εχινοντεσ όποιος ηνπτωχος ιωαλνης ἐμη,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,21
οικον εχων μη οικετην μη βουν αροτηρα μη,οικον χων όμε οικετην ύβηβον αροτηραταει,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,22
γηδιον μη κλινην μη τραπεζαν μη αρτον,χηδιον ψιξλένην λη τραυπεδαν μκαρτόν,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,23
οποιος ηλιας οποιος των αγιων εκαστος,εποιος ψγίας εποιος των αγιων εκασος,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,24
οι περιηλθον εν μηλωταις εν αιγειοις δερμα,οιπεριἡλθον εν μηλωταις εναιγίοι σδερα,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,25
σιν υστερουμενοι θλιβομενοι κακουχουμενοι,σιο ὑπτερ ουμενοι θυκομεν οικακουχουεν,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,26
ανθ ων υψωθησαν αι θυγατερες σιων και ε,ζθῶν ζυθης ακ ἀθυτα τερες εία ἡ και ε,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,27
πορευθησαν υψηλω τραχηλω και εν νευμα,πορεύθηξακτοψηλωτρ χήλω και εμν εκμα,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,28
σιν οφθαλμων και τη πορεια των ποδων α,ςίκε ὁ φθάλνα καὶ τὴ πορειατωη ποδυων α,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,29
μα συρουσαι τους χιτωνας και τοις ποσιν αμα,μαςύρογκαρ τον εχιτω ας κα τοις πος ιη αμα,11,2 Bodleian-Library-MS-Barocci-102_00158_fol-75v.jpg,30
παιζουσαι και ταπεινωσει ο θς αρχουσας θυ,παιδαρ εμι καὶ τἀπειωρει δεθεη αρχοήεας θυ,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,1
γατερας σιων,τατερας ἔιω μεα,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,2
ει και μειζονα τινα προηγουμενως εμφαινει ο,ικαὶ μεις ο να τινα προκεγουμένὡς ἐμφαίνεις,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,3
λογος αλλ όμως εχει τι και αυτοθεν τοις,λογος τκ ἀλλήως εχει τεκαι αὐτόθ εητοῖς,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,4
πληθεσι χρησιμον και επιστρεπτικον τα λεγομε,πμληθεσ χρήσιμον και επιστρεπτικον τα λεγελς,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,5
να συστελλει γαρ ακολαστων γυναικων την,α οσυτε αλεγχάρακόλαστνχν αικων την,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,6
ζωην και σχηματι και βλεμματι και βαδισματι και στο,ζῷην και εχηματει και βαδιόματι καὶ στο,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,7
λη την προς πορνειαν ευκολιαν επιδεικνυμε,λ πην προσπορνείιαν ευκόλιαν επιδειν ὑμε,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,8
νων όταν γαρ επι τω καλλει του σωματος με,ον ωετιαν γαρ επιτω καλλει του ματοςμε,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,9
γαλοφρονουσαι υπεραιρωσιν εαυτας των λοι,γαφρον οὐ σαι ευπεραίξωσηηξαυτας τῶν λοι,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,10
πων ματαιω φρρυαγματι κεχρημεναι και ε,πων μλα τα εφειιυαι υυαρι αχρμεναι και ε,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,11
παιρομεναι πραγματι ταχυ απανθουντι και,παιραμναι πρ εγιατι τεχια πανθοντικαι,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,12
απορρεοντι ειτα υψηλον μεν τον τραχηλον,ἀπορεσόντι ξιτα ρκλονμεν τὸν τραχηλόν,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,13
φερουσιν υπερ του πασιν αυτων τα προσωπα,φεσρωσιν υπερ τοῦ πασεν αὐτων ταπροπ,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,14
είναι καταφανη η μεν γαρ σεμνη γυνη και,ιναι καταφανου ημεν γαρεμ ηγυν ηκαι,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,15
κοσμια εις γην κατανευουσα υπο αιδους ε,κοσμεα εισγην κατανευουσα ποαι δους ε,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,16
πι το κατω καθελκομενον εχει το προσωπον,πι τοκατω καλεσλκόμένον εχει το προοπο,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,17
η δε πολλους αγρευσαι τη παγιδι του καλλους,δεπολλους αγρευσαι τηπαγιδετοῦ καλλους,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,18
προαιρουμενη πορευεται υψηλω τραχηλω,προαιρουμὲν η πορευεται ευληλω τραχηλω,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,19
και εν νευμασιν οφθαλμων,καὶεευμαρ ιὁ φθαλαντι,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,20
γυναικος πορνειας πνεουσης το κατηγορη,εν ωαι κος πορνειας πνεοησης τοκατηορη,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,21
μα περιεργα βλεπειν τω οφθαλμω την α,μα περιεργα βλεπσει μτω ς φθαλμω τὴν ἀ,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,22
σελγειαν της ψυχης καταμηνυειν τω βλεμματι,αλεγειἀντῆς ψυχης κατα μηνχειν τωῷ κλεμμα,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,23
εμμειδιαν τοις οφθαλμοις ερεθιζειν πορ,ἐμμειδιαν τοῖς ὁ φθαλοις ερεθεθειν πορ,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,24
νικως ιον τινα φθαρτικον εξαποστελλειν τοις,"νικῶς, ιὸν τινα φθαρτικονεξαποστεμειντ",11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,25
ομμασιν οποιον δη τι και ο περι του βασιλισ,εμμασιν· ὁποιον δυτικαι ὁπερητου βασιλις,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,26
κου κατεχει  λογος ον φασι και εκ μονης της οψε,κου κατεχειλγος όν φασικαιδκμήνης τῆς όε,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,27
ως διαφθειρειν τους θεαθεντας δικαιως,ισδιαφθεἰρειν τους θεμθενταοαικαιως,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,28
ουν αγανακτει ο λογος κατά των πορευομενων,θω αγανακτεις εγος κατατων πορευόμενῶν,11,3 Bodleian-Library-MS-Barocci-102_00159_fol-76r.jpg,29
υψηλω τραχηλω τουτεστιν απερυθριασμενω,εκῷ τρχηω τουτεστιν ἀπηρυθριασμενῳ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,1
προσωπω και εν νευμασιν οφθαλμων το δε υ,"προοπω, και εννευμασιηοφθαλμων το δε",11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,2
ψηλον του τραχηλου δειγμα του μηδε τω ζυγω,ψηλοη του τρ ἀχηλουδεῖγμα. του μη δε τῷ ζυῳ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,3
της σωφροσυνης υποκεισθαι αβρυνομενης δε,της σώφροσαμοης υποκεισθαι αβρν ομενηςσδε,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,4
και χλιδωσης τον χιτωνα επισυρομενην βαδι,και χλιδωσης τὸν χιτωνα επισυρομεν ην βαδεπ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,5
ζειν και το βαδισμα μη κατά φυσιν ποιεισθαι,"ζειν, καὶ τοκαδισμα ηκατα φυσιη ποις ἰφ",11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,6
αλλα προς ρυθμον εκμελη επιτετηδευμενον,λλ ἀπρος βλυθμον εκ μεληεπιτετηδευμενον,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,7
εκλυτως αντι ουν τουτων ταπειωσει ο θς,ἐκλυτως ἀντιουν τουτων  ταπεινωσειοθε,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,8
αρχουσας θυγατερας σιων επειδη εκουσιως το,αρχάσασθυγατεραςσιων επειδιεκουσιωςτο,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,9
ταπεινον ουχ ειλαντο αλλ επορευθησαν υψηλω,τα πεινον Τὐχειλαντο ἀλλεσπορευθησανευωλυς,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,10
τραχηλω ταπεινωσει φησι τας αρχηγους αυτ,τρχηλω ταπεινωσει φησιο τας ἀρχκγους αυτ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,11
τας θυγατερας σιων ετι και μοι εξεστιν οραν πολ,τασθυγατρας σιων ετικαι νν εξεστινοραν πολ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,12
λαχου τας ιουδαιας των εκαστου ποσιν επιπαι,λαλχουτας ιουδαιας τῶν εκα στου ποσιν επιπαι,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,13
ζουσας και μη εντρεπομενας την του προφη,ουσας καὶ μηεντρεπομενας την του προφη,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,14
του φωνην ειθε δε μη και της εκκλησιας αι,τοῦφῶν ην ειθεπεμηκαιτῆς ἐκκλήσίας αὐ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,15
θυγατερες τα αυτά εγκαλοιντο πολλαι γαρ ως,θυγατερε τα αυτα εγκαλοιντο πολλαυγαρως,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,16
εν πληθει των προσιοντων τω θειω λογω εν ταις,ἐν πμηθει τῶν προσιον τῶν τῶθειωλογς νταις,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,17
ημεραις των εορτων ουκ ειδεναι ευφροσυνην,κημέραις των ἔορτων ουκ ειδεαι δευφροσν η μι,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,18
πνικην παιδιαις αεμνοις εαυτας επιδιδουσαι,πνεκὴν παιδείαι ασεμνοις ἐαυτας επιδιδουσα,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,19
κωμοις και μεσθαις ευκαλινδουνται και μη τη,κωμοις και σθαις εγκαλοσιν δουνται και μητηςε,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,20
ρουσαι το παραγγελμα το λεγων ότι οι οφθαλμοι σου,σαι το παραγγελματολεγον· ότι οις φθαλμοισου,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,21
ορθα βλεπετωσαν υπολοφουσαι το ομμα και,ορθα βλσπετωσαν υπολοξουσαι τοό μμα και,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,22
παρεγκλινουσαι δειγμα πονηρας εκφερουσι προ,παρεγκλινουσαι δὲιγμαπον ηρας ἐκφερουσιπρο,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,23
αιρεσεως πολλαχου δε τα νευματα των οφθαλ,αιρεσεως πολλαχουδε ταν ευατα τῶν ὁφθαλ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,24
μων διαβεβληται ως εν παροικιαις επι του κα,μῶν διαεμληται ως ἐν παροιμίαι ε επι του κα,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,25
κου παρατετηρηται ότι οδε αυτος εννευει μεν,κ ου παρατετηρηται ότι οδε αυτος εννευειμὲν,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,26
οφθαλμω σημαινει δε ποδι και παλιν ο εννευων,ὁ φθαλμω σημαι νειδεσο δικαι παλινοεν νεγων,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,27
οφθαλμω μετα δολου συναγει ανδρασι λυπ,ὁ φθαλω μτα δόλου συναγει αν δρασιλυὑπ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,28
και το οι μισουντες με ρε ν και διανευοντες,καὶ το οιμσουντεσμεθωρεαν και διαν ευοντες,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,29
οφθαλμοις φθανει δε ποτε και επ ανδρ,ὁ φθεμμοι ς φθαν ειδεποτε κ επανδρ,11,4 Bodleian-Library-MS-Barocci-102_00160_fol-76v.jpg,30
Τα τοιαυτα εγκληματα τους φρονηματι μεν α,τατοι αυτα εγεωματα τουςφρονηματιμενα,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,1
λαζονικω υπερφρονουντας των υποδεεστερων,λαζον ικῷυπερφρονουντας τῶν υποδεεστερω,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,2
υπιαζοντας δε τω σχηματι και τω νευματι,υπτια ζον τασδε τω ρχηματικαι τῶν εὐματι,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,3
των οφρυων την αλαζονειαν ενδεικνυμενους,των ὁφρλων τὴν αλόρόνιαν ενδεικνυμεν χς,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,4
σοβαρω δε και διηρμενω βαδισματι ενρυθμα,σοκαρω δε και διηρμενσκα δισματιενρυθμεα,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,5
βαινοντας το ιμαντιον καθιεντας μεχρι των,μαινουτας τοιματιον καθιεν τας μεχριτων,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,6
σφυρων αλαζονειαν ενδεικνυμενους και παιδι,σφρῶν ἀλόλόνιαν ενδειενευμένους καὶ παδι,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,7
αις αμετροις εαυτους εκδεδωκοτας ους με,θις ἀρετροις εαυτους εκδεδωκότας ουσμε,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,8
νει το απειληθεν πτωμα το δι αυτης ταπεινω,αει τοἀπειληθεν πτωμα το θιατης ταπεινω,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,9
σεως της από του υψους,δως της ἀπο του υθους,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,10
και κς ανακαλυψει το σχημα αυτων,ψαι ξαια καλχκρι τος χήμεαυ τω η τ,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,11
τουτο το σχημα το υπερηφανον και πεποιη,π χυτο το χηματο υπερευθανοι και πεποιη,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,12
μενον προσεκλισεν και πασαν ακολαστον εν,αυσι προσεκλυσιν καὶ πασανεκόλαστον ε,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,13
νοιαν ταις καρδιαις των αφυλακτων εν εργαζο,οιαυται εκαρδιαις τῶν ἀφυακ των ενεργαςς,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,14
μενον ανακαλυψει κς όταν εν τη φανερωσει,μνόμιδ ανακαλυθικς ότανεν τὴῆφανφωσει,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,15
των κρυπτων τα μεν της σαρκος παραπετα,των ερευπτων ταμεν τής σάρκος παραπετα,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,16
σματα περιαιρεθη γυμνη δε και καθ εαυτην,σματαπερραιρεθη γυωη δεκαι καλσαυτην,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,17
μετ αυτων εργων της ασχυμοσυνης παραδειγματι,μετατων έργων τῆς ἀσχημοσυνης παρα δεῖγματι,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,18
ζηται η ψυχη ενεργειται δε ποτε και ενταυθα,νταζεψυχ εν εργει τα δε πότε και ενταυθά,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,19
η αποκαλυψις του σχηματος επι καλω των πε,κ ἀποκαλυψις τοῦ χηματος επικαλω των τε,11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,20
ρι ους η ενεργεια ώστε γυμνωθεντων αι τεως,"ρι ους ηενεργεία, ωστεγμνωθεν τῶνατω",11,5 Bodleian-Library-MS-Barocci-102_00161_fol-77r.jpg,21
